Model,R²,MAE,MSE,MASE,Time (s)
MyPolynomialRegression (deg=2),0.4514500159822076,1.2035805207131347,2.4133759081855075,0.4969978238576335,0.8448994159698486
Lasso (alpha=0.001),0.4385009541921695,1.2267071252681727,2.470346019694379,0.5065475564590383,0.037473440170288086
"ElasticNet (alpha=0.001, l1_ratio=0.5)",0.43729944908606866,1.2270874392658413,2.4756321076737957,0.5067046005669903,0.11001014709472656
Ridge (alpha=1.0),0.4333607109060801,1.229380215517231,2.492960803525014,0.5076513629878859,0.011579275131225586
LinearRegression (sklearn),0.4332804921294553,1.2294778757135396,2.4933137304569817,0.5076916900820916,0.022066831588745117
MyOLSLinearRegression,0.4332804431295896,1.2294779617522065,2.4933139460345934,0.5076917256102755,0.01658320426940918
